r-baclofen	perturbagen_web_00002.tsv
budesonide	perturbagen_web_01197.tsv
budipine	perturbagen_web_01198.tsv
bufexamac	perturbagen_web_01199.tsv
buflomedil	perturbagen_web_01200.tsv
bumetanide	perturbagen_web_01201.tsv
bunazosin	perturbagen_web_01202.tsv
buparlisib	perturbagen_web_01203.tsv
buparvaquone	perturbagen_web_01204.tsv
buphenine	perturbagen_web_01205.tsv
bupicomide	perturbagen_web_01206.tsv
bupivacaine	perturbagen_web_01207.tsv
bupranolol	perturbagen_web_01208.tsv
bupropion	perturbagen_web_01209.tsv
buserelin	perturbagen_web_01211.tsv
buspirone	perturbagen_web_01212.tsv
busulfan	perturbagen_web_01213.tsv
butabindide	perturbagen_web_01214.tsv
butacaine	perturbagen_web_01215.tsv
butaclamol	perturbagen_web_01216.tsv
butalbital	perturbagen_web_01217.tsv
butamben	perturbagen_web_01218.tsv
butaprost	perturbagen_web_01219.tsv
butein	perturbagen_web_01220.tsv
butenafine	perturbagen_web_01221.tsv
buthionine-sulfoximine	perturbagen_web_01222.tsv
butibufen	perturbagen_web_01223.tsv
butoconazole	perturbagen_web_01224.tsv
butyl-paraben	perturbagen_web_01226.tsv
butylidenephthalide	perturbagen_web_01229.tsv
butylphthalide	perturbagen_web_01230.tsv
bvd-523	perturbagen_web_01232.tsv
bx-795	perturbagen_web_01242.tsv
bx-912	perturbagen_web_01243.tsv
c-1	perturbagen_web_01246.tsv
c106	perturbagen_web_01248.tsv
c11-acetate	perturbagen_web_01249.tsv
c188-9	perturbagen_web_01250.tsv
c34	perturbagen_web_01251.tsv
c646	perturbagen_web_01252.tsv
cabazitaxel	perturbagen_web_01256.tsv
cabergoline	perturbagen_web_01257.tsv
cabotegravir	perturbagen_web_01258.tsv
cabozantinib	perturbagen_web_01259.tsv
caccinh-a01	perturbagen_web_01260.tsv
cadazolid	perturbagen_web_01261.tsv
cadralazine	perturbagen_web_01262.tsv
cafestol	perturbagen_web_01263.tsv
caffeic-acid	perturbagen_web_01264.tsv
caffeine	perturbagen_web_01266.tsv
calcifediol	perturbagen_web_01267.tsv
calcipotriol	perturbagen_web_01268.tsv
calcitonin	perturbagen_web_01269.tsv
calcitriol	perturbagen_web_01270.tsv
calhex-231	perturbagen_web_01273.tsv
calpeptin	perturbagen_web_01274.tsv
camicinal	perturbagen_web_01275.tsv
camkii-in-1	perturbagen_web_01276.tsv
camptothecin	perturbagen_web_01281.tsv
canagliflozin	perturbagen_web_01283.tsv
candesartan	perturbagen_web_01284.tsv
candesartan-cilexetil	perturbagen_web_01285.tsv
candicidin	perturbagen_web_01286.tsv
canertinib	perturbagen_web_01287.tsv
cangrelor	perturbagen_web_01288.tsv
canrenone	perturbagen_web_01289.tsv
cantharidin	perturbagen_web_01290.tsv
capecitabine	perturbagen_web_01292.tsv
capreomycin	perturbagen_web_01294.tsv
capromorelin	perturbagen_web_01295.tsv
capsaicin	perturbagen_web_01297.tsv
capsazepine	perturbagen_web_01298.tsv
captan	perturbagen_web_01300.tsv
captopril	perturbagen_web_01301.tsv
caracemide	perturbagen_web_01302.tsv
caramiphen	perturbagen_web_01303.tsv
carazolol	perturbagen_web_01304.tsv
carbachol	perturbagen_web_01305.tsv
carbadox	perturbagen_web_01306.tsv
carbamazepine	perturbagen_web_01307.tsv
carbaril	perturbagen_web_01308.tsv
carbarsone	perturbagen_web_01309.tsv
carbendazim	perturbagen_web_01311.tsv
carbenicillin	perturbagen_web_01312.tsv
carbenoxolone	perturbagen_web_01313.tsv
carbetapentane	perturbagen_web_01314.tsv
carbetocin	perturbagen_web_01315.tsv
carbidopa	perturbagen_web_01316.tsv
carbimazole	perturbagen_web_01317.tsv
carbinoxamine	perturbagen_web_01318.tsv
carboplatin	perturbagen_web_01319.tsv
carboxyamidotriazole	perturbagen_web_01320.tsv
carebastine	perturbagen_web_01325.tsv
carfilzomib	perturbagen_web_01326.tsv
cariporide	perturbagen_web_01329.tsv
cariprazine	perturbagen_web_01330.tsv
carmofur	perturbagen_web_01331.tsv
carmoterol	perturbagen_web_01332.tsv
carmoxirole	perturbagen_web_01333.tsv
carmustine	perturbagen_web_01334.tsv
carnosine	perturbagen_web_01336.tsv
caroxazone	perturbagen_web_01338.tsv
carprofen	perturbagen_web_01339.tsv
carteolol	perturbagen_web_01341.tsv
carumonam	perturbagen_web_01342.tsv
carvedilol	perturbagen_web_01343.tsv
caspofungin	perturbagen_web_01347.tsv
castanospermine	perturbagen_web_01348.tsv
catharanthine	perturbagen_web_01349.tsv
cb-5083	perturbagen_web_01354.tsv
cb-839	perturbagen_web_01355.tsv
cbl0137	perturbagen_web_01357.tsv
cc-115	perturbagen_web_01359.tsv
cc-223	perturbagen_web_01360.tsv
cc-401	perturbagen_web_01361.tsv
cc4	perturbagen_web_01364.tsv
ccg-1423	perturbagen_web_01365.tsv
ccmi	perturbagen_web_01369.tsv
cct018159	perturbagen_web_01372.tsv
cct128930	perturbagen_web_01373.tsv
cct129202	perturbagen_web_01374.tsv
cdba	perturbagen_web_01380.tsv
cdppb	perturbagen_web_01383.tsv
cebranopadol	perturbagen_web_01385.tsv
cediranib	perturbagen_web_01386.tsv
cedrol	perturbagen_web_01387.tsv
cefaclor	perturbagen_web_01389.tsv
cefadroxil	perturbagen_web_01390.tsv
cefamandole	perturbagen_web_01392.tsv
cefathiamidine	perturbagen_web_01394.tsv
cefazolin	perturbagen_web_01395.tsv
cefdinir	perturbagen_web_01397.tsv
cefepime	perturbagen_web_01399.tsv
cefetamet	perturbagen_web_01400.tsv
cefiderocol	perturbagen_web_01402.tsv
cefixime	perturbagen_web_01403.tsv
cefmenoxime	perturbagen_web_01404.tsv
cefmetazole	perturbagen_web_01405.tsv
cefminox	perturbagen_web_01406.tsv
cefodizime	perturbagen_web_01407.tsv
cefonicid	perturbagen_web_01408.tsv
cefoperazone	perturbagen_web_01409.tsv
ceforanide	perturbagen_web_01410.tsv
cefoselis	perturbagen_web_01411.tsv
cefotaxime	perturbagen_web_01412.tsv
cefotetan	perturbagen_web_01413.tsv
cefotiam	perturbagen_web_01414.tsv
cefoxitin	perturbagen_web_01416.tsv
cefozopran	perturbagen_web_01417.tsv
cefpiramide	perturbagen_web_01418.tsv
cefpirome	perturbagen_web_01419.tsv
cefpodoxime	perturbagen_web_01420.tsv
cefprozil	perturbagen_web_01421.tsv
cefradine	perturbagen_web_01422.tsv
cefsulodin	perturbagen_web_01423.tsv
ceftaroline-fosamil	perturbagen_web_01424.tsv
ceftazidime	perturbagen_web_01425.tsv
ceftibuten	perturbagen_web_01426.tsv
ceftiofur	perturbagen_web_01427.tsv
ceftobiprole	perturbagen_web_01429.tsv
ceftriaxone	perturbagen_web_01430.tsv
cefuroxime	perturbagen_web_01431.tsv
cefuroxime-axetil	perturbagen_web_01432.tsv
celecoxib	perturbagen_web_01433.tsv
celgosivir	perturbagen_web_01434.tsv
celiprolol	perturbagen_web_01435.tsv
cenicriviroc	perturbagen_web_01437.tsv
cenobamate	perturbagen_web_01438.tsv
centhaquin	perturbagen_web_01441.tsv
centpropazine	perturbagen_web_01442.tsv
cep-33779	perturbagen_web_01444.tsv
cephalexin	perturbagen_web_01447.tsv
cephalomannine	perturbagen_web_01448.tsv
cephalothin	perturbagen_web_01450.tsv
cephapirin	perturbagen_web_01451.tsv
cepharanthine	perturbagen_web_01452.tsv
cephradine	perturbagen_web_01453.tsv
ceramide	perturbagen_web_01454.tsv
ceritinib	perturbagen_web_01455.tsv
cerulenin	perturbagen_web_01456.tsv
ceruletide	perturbagen_web_01457.tsv
cetaben	perturbagen_web_01458.tsv
cetilistat	perturbagen_web_01459.tsv
cetirizine	perturbagen_web_01460.tsv
cetrimonium	perturbagen_web_01461.tsv
cetrorelix	perturbagen_web_01462.tsv
cetylpyridinium	perturbagen_web_01463.tsv
cevimeline	perturbagen_web_01464.tsv
cevipabulin	perturbagen_web_01465.tsv
cf102	perturbagen_web_01466.tsv
cfi-400945	perturbagen_web_01467.tsv
cfm-2	perturbagen_web_01470.tsv
cgp-12177	perturbagen_web_01476.tsv
cgp-20712a	perturbagen_web_01478.tsv
cgp-37157	perturbagen_web_01480.tsv
cgp-37849	perturbagen_web_01481.tsv
cgp-53353	perturbagen_web_01484.tsv
cgs-15943	perturbagen_web_01493.tsv
cgs-21680	perturbagen_web_01495.tsv
ch-170	perturbagen_web_01497.tsv
ch223191	perturbagen_web_01499.tsv
ch5132799	perturbagen_web_01500.tsv
ch55	perturbagen_web_01501.tsv
chc	perturbagen_web_01502.tsv
chf5074	perturbagen_web_01504.tsv
chidamide	perturbagen_web_01506.tsv
chir-124	perturbagen_web_01508.tsv
chloralose	perturbagen_web_01511.tsv
chlorambucil	perturbagen_web_01512.tsv
chloramine-t	perturbagen_web_01513.tsv
chloramphenicol	perturbagen_web_01514.tsv
chlorazanil	perturbagen_web_01517.tsv
chlorcyclizine	perturbagen_web_01518.tsv
chlorhexidine	perturbagen_web_01520.tsv
chlormezanone	perturbagen_web_01525.tsv
chlorobutanol	perturbagen_web_01527.tsv
chlorocresol	perturbagen_web_01528.tsv
chlorophyllin	perturbagen_web_01530.tsv
chloroprocaine	perturbagen_web_01532.tsv
chloropyramine	perturbagen_web_01533.tsv
chloroquine	perturbagen_web_01534.tsv
chlorothiazide	perturbagen_web_01535.tsv
chlorotrianisene	perturbagen_web_01537.tsv
chloroxylenol	perturbagen_web_01540.tsv
chlorphenamine	perturbagen_web_01541.tsv
chlorproguanil	perturbagen_web_01545.tsv
chlorpromazine	perturbagen_web_01546.tsv
chlorpropamide	perturbagen_web_01547.tsv
chlorpropham	perturbagen_web_01548.tsv
chlorprothixene	perturbagen_web_01549.tsv
chlorpyrifos	perturbagen_web_01550.tsv
chlorquinaldol	perturbagen_web_01551.tsv
chlortetracycline	perturbagen_web_01552.tsv
chlorthalidone	perturbagen_web_01553.tsv
chlorzoxazone	perturbagen_web_01554.tsv
cholecalciferol	perturbagen_web_01555.tsv
cholesterol	perturbagen_web_01556.tsv
cholic-acid	perturbagen_web_01557.tsv
choline	perturbagen_web_01558.tsv
chpg	perturbagen_web_01560.tsv
chrysin	perturbagen_web_01566.tsv
chuanxiongzine	perturbagen_web_01568.tsv
ci-966	perturbagen_web_01572.tsv
ci-976	perturbagen_web_01573.tsv
cianidanol	perturbagen_web_01575.tsv
cibenzoline	perturbagen_web_01576.tsv
ciclesonide	perturbagen_web_01577.tsv
ciclopirox	perturbagen_web_01578.tsv
cicloprofen	perturbagen_web_01579.tsv
cidofovir	perturbagen_web_01584.tsv
ciglitazone	perturbagen_web_01585.tsv
cilastatin	perturbagen_web_01586.tsv
cilazapril	perturbagen_web_01587.tsv
cilengitide	perturbagen_web_01588.tsv
cilnidipine	perturbagen_web_01589.tsv
cilofexor	perturbagen_web_01590.tsv
cilomilast	perturbagen_web_01591.tsv
cilostamide	perturbagen_web_01592.tsv
cilostazol	perturbagen_web_01593.tsv
ciluprevir	perturbagen_web_01594.tsv
cimaterol	perturbagen_web_01596.tsv
cimetidine	perturbagen_web_01597.tsv
cimetropium	perturbagen_web_01598.tsv
cinacalcet	perturbagen_web_01599.tsv
cinaciguat	perturbagen_web_01600.tsv
cinalukast	perturbagen_web_01601.tsv
cinanserin	perturbagen_web_01602.tsv
cinchocaine	perturbagen_web_01603.tsv
cinchonidine	perturbagen_web_01604.tsv
cinchonine	perturbagen_web_01605.tsv
cinchophen	perturbagen_web_01606.tsv
cinepazide	perturbagen_web_01608.tsv
cinnamaldehyde	perturbagen_web_01610.tsv
cinobufotalin	perturbagen_web_01612.tsv
cinoxacin	perturbagen_web_01614.tsv
cinromide	perturbagen_web_01617.tsv
ciprofibrate	perturbagen_web_01623.tsv
ciprofloxacin	perturbagen_web_01624.tsv
ciproxifan	perturbagen_web_01625.tsv
ciq	perturbagen_web_01626.tsv
cirazoline	perturbagen_web_01627.tsv
cis-acpd	perturbagen_web_01630.tsv
cisapride	perturbagen_web_01633.tsv
cisatracurium	perturbagen_web_01634.tsv
cisplatin	perturbagen_web_01635.tsv
citalopram	perturbagen_web_01636.tsv
citco	perturbagen_web_01638.tsv
citicoline	perturbagen_web_01639.tsv
citiolone	perturbagen_web_01640.tsv
citric-acid	perturbagen_web_01641.tsv
ckd-712	perturbagen_web_01646.tsv
cki-7	perturbagen_web_01647.tsv
cl316243	perturbagen_web_01650.tsv
cladribine	perturbagen_web_01651.tsv
clamikalant	perturbagen_web_01652.tsv
clarithromycin	perturbagen_web_01654.tsv
clavulanate	perturbagen_web_01655.tsv
clebopride	perturbagen_web_01656.tsv
clemastine	perturbagen_web_01657.tsv
clenbuterol	perturbagen_web_01659.tsv
clevudine	perturbagen_web_01661.tsv
clidinium	perturbagen_web_01662.tsv
climbazole	perturbagen_web_01663.tsv
clinafloxacin	perturbagen_web_01664.tsv
clindamycin	perturbagen_web_01665.tsv
clinofibrate	perturbagen_web_01668.tsv
clioquinol	perturbagen_web_01669.tsv
clobenpropit	perturbagen_web_01670.tsv
clobutinol	perturbagen_web_01673.tsv
clofarabine	perturbagen_web_01676.tsv
clofazimine	perturbagen_web_01677.tsv
clofibrate	perturbagen_web_01679.tsv
clofilium	perturbagen_web_01681.tsv
clofoctol	perturbagen_web_01682.tsv
clomesone	perturbagen_web_01683.tsv
clomethiazole	perturbagen_web_01684.tsv
clomifene	perturbagen_web_01685.tsv
clomipramine	perturbagen_web_01686.tsv
clonidine	perturbagen_web_01687.tsv
clonixin	perturbagen_web_01688.tsv
clopamide	perturbagen_web_01690.tsv
cloperastine	perturbagen_web_01691.tsv
clopidogrel	perturbagen_web_01693.tsv
clopidol	perturbagen_web_01694.tsv
clorsulon	perturbagen_web_01700.tsv
closantel	perturbagen_web_01701.tsv
clotiapine	perturbagen_web_01702.tsv
clotrimazole	perturbagen_web_01703.tsv
cloxacillin	perturbagen_web_01704.tsv
clozapine	perturbagen_web_01706.tsv
cnqx	perturbagen_web_01709.tsv
cobicistat	perturbagen_web_01714.tsv
cobimetinib	perturbagen_web_01715.tsv
coenzyme-a	perturbagen_web_01716.tsv
coenzyme-q10	perturbagen_web_01718.tsv
colchicine	perturbagen_web_01720.tsv
colforsin	perturbagen_web_01721.tsv
colistimethate	perturbagen_web_01724.tsv
colistin	perturbagen_web_01725.tsv
conivaptan	perturbagen_web_01730.tsv
convallatoxin	perturbagen_web_01731.tsv
copanlisib	perturbagen_web_01732.tsv
copper-histidine	perturbagen_web_01733.tsv
cordycepin	perturbagen_web_01735.tsv
corticosterone	perturbagen_web_01738.tsv
cortisone	perturbagen_web_01739.tsv
costunolide	perturbagen_web_01742.tsv
coti-2	perturbagen_web_01745.tsv
cotinine	perturbagen_web_01746.tsv
coumarin	perturbagen_web_01747.tsv
cp-105696	perturbagen_web_01749.tsv
cp-376395	perturbagen_web_01752.tsv
cp-640186	perturbagen_web_01756.tsv
cp-673451	perturbagen_web_01757.tsv
cp-93129	perturbagen_web_01761.tsv
cp-94253	perturbagen_web_01762.tsv
cp-99994	perturbagen_web_01764.tsv
cpccoet	perturbagen_web_01766.tsv
cpi-0610	perturbagen_web_01767.tsv
cpi-1189	perturbagen_web_01768.tsv
cpi-203	perturbagen_web_01771.tsv
cpi-613	perturbagen_web_01774.tsv
cpp	perturbagen_web_01775.tsv
cqs	perturbagen_web_01777.tsv
creatine	perturbagen_web_01779.tsv
creatinine	perturbagen_web_01780.tsv
crenolanib	perturbagen_web_01783.tsv
cresol	perturbagen_web_01784.tsv
crisaborole	perturbagen_web_01787.tsv
crizotinib	perturbagen_web_01789.tsv
croconazole	perturbagen_web_01791.tsv
cromakalim	perturbagen_web_01793.tsv
crotamiton	perturbagen_web_01795.tsv
cryptotanshinone	perturbagen_web_01797.tsv
crystal-violet	perturbagen_web_01798.tsv
cs-917	perturbagen_web_01800.tsv
ctep	perturbagen_web_01803.tsv
cudc-101	perturbagen_web_01808.tsv
cudc-907	perturbagen_web_01810.tsv
curcumin	perturbagen_web_01812.tsv
curcumol	perturbagen_web_01813.tsv
cutamesine	perturbagen_web_01814.tsv
cv-1808	perturbagen_web_01815.tsv
cvt-10216	perturbagen_web_01816.tsv
cx-4945	perturbagen_web_01818.tsv
cx-516	perturbagen_web_01819.tsv
cx-5461	perturbagen_web_01820.tsv
cy208-243	perturbagen_web_01822.tsv
cyamemazine	perturbagen_web_01824.tsv
cyanocobalamin	perturbagen_web_01825.tsv
cyanopindolol	perturbagen_web_01826.tsv
cyclandelate	perturbagen_web_01830.tsv
cyclic-amp	perturbagen_web_01831.tsv
cyclizine	perturbagen_web_01832.tsv
cyclobenzaprine	perturbagen_web_01833.tsv
cyclocreatine	perturbagen_web_01834.tsv
cyclocytidine	perturbagen_web_01835.tsv
cycloheximide	perturbagen_web_01836.tsv
cyclopamine	perturbagen_web_01837.tsv
cyclopenthiazide	perturbagen_web_01838.tsv
cyclopentolate	perturbagen_web_01839.tsv
cyclophosphamide	perturbagen_web_01840.tsv
cyclosporin-a	perturbagen_web_01843.tsv
cyclothiazide	perturbagen_web_01844.tsv
cyclovalone	perturbagen_web_01845.tsv
cym-5442	perturbagen_web_01851.tsv
cypermethrin	perturbagen_web_01854.tsv
cyproheptadine	perturbagen_web_01855.tsv
cyproterone-acetate	perturbagen_web_01856.tsv
cyromazine	perturbagen_web_01857.tsv
cysteamine	perturbagen_web_01858.tsv
cyt387	perturbagen_web_01860.tsv
cytarabine	perturbagen_web_01861.tsv
cytidine	perturbagen_web_01862.tsv
cytisine	perturbagen_web_01863.tsv
cytochalasin-b	perturbagen_web_01864.tsv
d-64131	perturbagen_web_01872.tsv
d-limonene	perturbagen_web_01876.tsv
d-phenylalanine	perturbagen_web_01877.tsv
d-serine	perturbagen_web_01878.tsv
d609	perturbagen_web_01880.tsv
dabigatran	perturbagen_web_01882.tsv
dabigatran-etexilate	perturbagen_web_01883.tsv
dabrafenib	perturbagen_web_01884.tsv
dacarbazine	perturbagen_web_01885.tsv
dacinostat	perturbagen_web_01886.tsv
daclatasvir	perturbagen_web_01887.tsv
dacomitinib	perturbagen_web_01888.tsv
dactinomycin	perturbagen_web_01889.tsv
daidzein	perturbagen_web_01890.tsv
daidzin	perturbagen_web_01891.tsv
dalargin	perturbagen_web_01892.tsv
dalbavancin	perturbagen_web_01893.tsv
dalcetrapib	perturbagen_web_01894.tsv
dalfampridine	perturbagen_web_01895.tsv
dalfopristin	perturbagen_web_01896.tsv
daltroban	perturbagen_web_01897.tsv
daminozide	perturbagen_web_01898.tsv
danazol	perturbagen_web_01899.tsv
danofloxacin	perturbagen_web_01902.tsv
danoprevir	perturbagen_web_01903.tsv
dantrolene	perturbagen_web_01904.tsv
dantron	perturbagen_web_01905.tsv
danusertib	perturbagen_web_01906.tsv
dapagliflozin	perturbagen_web_01907.tsv
daphnetin	perturbagen_web_01909.tsv
dapiprazole	perturbagen_web_01910.tsv
dapivirine	perturbagen_web_01911.tsv
dapoxetine	perturbagen_web_01912.tsv
daprodustat	perturbagen_web_01913.tsv
dapsone	perturbagen_web_01914.tsv
dapt	perturbagen_web_01915.tsv
daptomycin	perturbagen_web_01916.tsv
darapladib	perturbagen_web_01917.tsv
darglitazone	perturbagen_web_01918.tsv
darifenacin	perturbagen_web_01919.tsv
darolutamide	perturbagen_web_01920.tsv
darunavir	perturbagen_web_01921.tsv
darusentan	perturbagen_web_01922.tsv
dasabuvir	perturbagen_web_01923.tsv
dasatinib	perturbagen_web_01924.tsv
dasotraline	perturbagen_web_01925.tsv
daucosterol	perturbagen_web_01927.tsv
daunorubicin	perturbagen_web_01928.tsv
dazmegrel	perturbagen_web_01929.tsv
dazoxiben	perturbagen_web_01930.tsv
dcebio	perturbagen_web_01936.tsv
dcp-la	perturbagen_web_01937.tsv
dcpib	perturbagen_web_01938.tsv
deazaguanine	perturbagen_web_01940.tsv
debrisoquin	perturbagen_web_01942.tsv
decamethonium	perturbagen_web_01943.tsv
decernotinib	perturbagen_web_01945.tsv
decitabine	perturbagen_web_01946.tsv
declopramide	perturbagen_web_01947.tsv
decoquinate	perturbagen_web_01949.tsv
defactinib	perturbagen_web_01950.tsv
deferasirox	perturbagen_web_01951.tsv
deferiprone	perturbagen_web_01953.tsv
deferoxamine-mesylate	perturbagen_web_01954.tsv
deflazacort	perturbagen_web_01955.tsv
deforolimus	perturbagen_web_01956.tsv
degarelix	perturbagen_web_01957.tsv
dehydrocholate	perturbagen_web_01959.tsv
dehydrocorydaline	perturbagen_web_01961.tsv
dehydroepiandrosterone	perturbagen_web_01962.tsv
dehydroepiandrosterone-sulfate	perturbagen_web_01963.tsv
delafloxacin	perturbagen_web_01964.tsv
delamanid	perturbagen_web_01965.tsv
delanzomib	perturbagen_web_01966.tsv
delapril	perturbagen_web_01967.tsv
delavirdine	perturbagen_web_01968.tsv
delgocitinib	perturbagen_web_01970.tsv
delphinidin	perturbagen_web_01973.tsv
delta-tocotrienol	perturbagen_web_01974.tsv
deltarasin	perturbagen_web_01975.tsv
demecarium	perturbagen_web_01976.tsv
demeclocycline	perturbagen_web_01977.tsv
denopamine	perturbagen_web_01979.tsv
deoxyarbutin	perturbagen_web_01981.tsv
deoxyepinephrine	perturbagen_web_01984.tsv
deptropine	perturbagen_web_01985.tsv
dequalinium	perturbagen_web_01986.tsv
deracoxib	perturbagen_web_01987.tsv
deserpidine	perturbagen_web_01989.tsv
desidustat	perturbagen_web_01990.tsv
desipramine	perturbagen_web_01991.tsv
desisobutyryl-ciclesonide	perturbagen_web_01992.tsv
deslanoside	perturbagen_web_01993.tsv
desloratadine	perturbagen_web_01994.tsv
deslorelin	perturbagen_web_01995.tsv
desmethylclozapine	perturbagen_web_01996.tsv
desogestrel	perturbagen_web_01998.tsv
desonide	perturbagen_web_01999.tsv
desoximetasone	perturbagen_web_02000.tsv
desoxypeganine	perturbagen_web_02003.tsv
desvenlafaxine	perturbagen_web_02004.tsv
detomidine	perturbagen_web_02005.tsv
devazepide	perturbagen_web_02006.tsv
dexamethasone	perturbagen_web_02007.tsv
dexchlorpheniramine	perturbagen_web_02009.tsv
dexlansoprazole	perturbagen_web_02011.tsv
dexloxiglumide	perturbagen_web_02012.tsv
dexmedetomidine	perturbagen_web_02013.tsv
dexniguldipine	perturbagen_web_02014.tsv
dexpanthenol	perturbagen_web_02015.tsv
dexrazoxane	perturbagen_web_02016.tsv
dextran	perturbagen_web_02017.tsv
dextromethorphan	perturbagen_web_02018.tsv
dextrose	perturbagen_web_02020.tsv
dfb	perturbagen_web_02021.tsv
dhbp	perturbagen_web_02025.tsv
diacerein	perturbagen_web_02026.tsv
dianhydrogalactitol	perturbagen_web_02029.tsv
diarylpropionitrile	perturbagen_web_02030.tsv
diaveridine	perturbagen_web_02032.tsv
diazoxide	perturbagen_web_02033.tsv
dibekacin	perturbagen_web_02034.tsv
dibenzepine	perturbagen_web_02035.tsv
dibenzothiophene	perturbagen_web_02036.tsv
dichloroacetate	perturbagen_web_02039.tsv
dichlorophen	perturbagen_web_02040.tsv
dichlorvos	perturbagen_web_02041.tsv
diclazuril	perturbagen_web_02042.tsv
diclofenac	perturbagen_web_02043.tsv
diclofenamide	perturbagen_web_02044.tsv
diclofensine	perturbagen_web_02045.tsv
dicloxacillin	perturbagen_web_02047.tsv
dicoumarol	perturbagen_web_02048.tsv
dicyclohexylamine	perturbagen_web_02049.tsv
didanosine	perturbagen_web_02051.tsv
dideoxyadenosine	perturbagen_web_02052.tsv
didox	perturbagen_web_02053.tsv
dienestrol	perturbagen_web_02054.tsv
dienogest	perturbagen_web_02055.tsv
diethylcarbamazine	perturbagen_web_02056.tsv
diethylstilbestrol	perturbagen_web_02057.tsv
diethyltoluamide	perturbagen_web_02058.tsv
difloxacin	perturbagen_web_02061.tsv
diflunisal	perturbagen_web_02062.tsv
difluprednate	perturbagen_web_02063.tsv
diftalone	perturbagen_web_02064.tsv
digitoxigenin	perturbagen_web_02065.tsv
digitoxin	perturbagen_web_02066.tsv
digoxigenin	perturbagen_web_02067.tsv
digoxin	perturbagen_web_02068.tsv
dihydrexidine	perturbagen_web_02070.tsv
dihydroartemisinin	perturbagen_web_02071.tsv
dihydroergocristine	perturbagen_web_02072.tsv
dihydroergotamine	perturbagen_web_02073.tsv
dihydromyricetin	perturbagen_web_02074.tsv
dihydrostreptomycin	perturbagen_web_02075.tsv
dihydrotachysterol	perturbagen_web_02076.tsv
dihydroxyacetone	perturbagen_web_02077.tsv
dihydroxyphenylglycine	perturbagen_web_02078.tsv
dilazep	perturbagen_web_02080.tsv
diltiazem	perturbagen_web_02083.tsv
dimaprit	perturbagen_web_02085.tsv
dimemorfan	perturbagen_web_02086.tsv
dimenhydrinate	perturbagen_web_02087.tsv
dimercaprol	perturbagen_web_02088.tsv
dimesna	perturbagen_web_02090.tsv
dimethadione	perturbagen_web_02091.tsv
dimethicone	perturbagen_web_02092.tsv
dimethyl-fumarate	perturbagen_web_02095.tsv
dimetindene	perturbagen_web_02097.tsv
dimetridazole	perturbagen_web_02098.tsv
dinaciclib	perturbagen_web_02101.tsv
dinitolmide	perturbagen_web_02102.tsv
dinoprost	perturbagen_web_02103.tsv
dinoprostone	perturbagen_web_02104.tsv
dioscin	perturbagen_web_02105.tsv
diosgenin	perturbagen_web_02106.tsv
diosmetin	perturbagen_web_02107.tsv
diosmin	perturbagen_web_02108.tsv
dioxybenzone	perturbagen_web_02109.tsv
diphencyprone	perturbagen_web_02113.tsv
diphenhydramine	perturbagen_web_02114.tsv
diphenidol	perturbagen_web_02115.tsv
diphenyleneiodonium	perturbagen_web_02116.tsv
diphenylguanidine	perturbagen_web_02117.tsv
diphenylpyraline	perturbagen_web_02118.tsv
dipraglurant	perturbagen_web_02120.tsv
dipt	perturbagen_web_02121.tsv
dipyridamole	perturbagen_web_02122.tsv
diquafosol	perturbagen_web_02124.tsv
dirithromycin	perturbagen_web_02125.tsv
disopyramide	perturbagen_web_02128.tsv
disulfiram	perturbagen_web_02129.tsv
dithranol	perturbagen_web_02130.tsv
ditolylguanidine	perturbagen_web_02132.tsv
dixyrazine	perturbagen_web_02134.tsv
dmp-777	perturbagen_web_02143.tsv
dmps	perturbagen_web_02144.tsv
dmso	perturbagen_web_02145.tsv
dnqx	perturbagen_web_02146.tsv
dobutamine	perturbagen_web_02147.tsv
docetaxel	perturbagen_web_02149.tsv
docosanol	perturbagen_web_02152.tsv
docusate	perturbagen_web_02153.tsv
dofequidar	perturbagen_web_02155.tsv
dofetilide	perturbagen_web_02156.tsv
dolasetron	perturbagen_web_02157.tsv
dolastatin-10	perturbagen_web_02158.tsv
dolutegravir	perturbagen_web_02159.tsv
domperidone	perturbagen_web_02161.tsv
donepezil	perturbagen_web_02162.tsv
donitriptan	perturbagen_web_02163.tsv
dopamine	perturbagen_web_02164.tsv
doramectin	perturbagen_web_02166.tsv
doravirine	perturbagen_web_02167.tsv
doripenem	perturbagen_web_02168.tsv
dorsomorphin	perturbagen_web_02169.tsv
dorzolamide	perturbagen_web_02170.tsv
dosulepin	perturbagen_web_02171.tsv
dotmp	perturbagen_web_02172.tsv
dovitinib	perturbagen_web_02173.tsv
doxapram	perturbagen_web_02174.tsv
doxazosin	perturbagen_web_02175.tsv
doxepin	perturbagen_web_02176.tsv
doxercalciferol	perturbagen_web_02177.tsv
doxifluridine	perturbagen_web_02178.tsv
doxofylline	perturbagen_web_02179.tsv
doxorubicin	perturbagen_web_02180.tsv
doxycycline	perturbagen_web_02181.tsv
doxylamine	perturbagen_web_02182.tsv
dpc	perturbagen_web_02183.tsv
dpcpx	perturbagen_web_02185.tsv
dpo-1	perturbagen_web_02187.tsv
dppe	perturbagen_web_02188.tsv
dqp-1105	perturbagen_web_02189.tsv
droloxifene	perturbagen_web_02194.tsv
dronedarone	perturbagen_web_02196.tsv
droperidol	perturbagen_web_02197.tsv
